limit,concurrency,minutes,seconds
500000000,1,0,13.379
1000000000,1,0,27.707
1500000000,1,0,43.543
2000000000,1,0,53.839
2500000000,1,1,14.991
3000000000,1,1,31.901
3500000000,1,1,48.217
4000000000,1,2,4.658
4294967295,1,2,17.355
500000000,2,0,7.325
1000000000,2,0,14.690
1500000000,2,0,22.079
2000000000,2,0,29.637
2500000000,2,0,37.593
3000000000,2,0,45.768
3500000000,2,0,53.950
4000000000,2,1,2.051
4294967295,2,1,9.504
500000000,4,0,5.098
1000000000,4,0,9.904
1500000000,4,0,14.887
2000000000,4,0,20.136
2500000000,4,0,25.160
3000000000,4,0,30.228
3500000000,4,0,35.961
4000000000,4,0,40.935
4294967295,4,0,46.170
500000000,6,0,4.282
1000000000,6,0,8.368
1500000000,6,0,12.889
2000000000,6,0,16.644
2500000000,6,0,20.989
3000000000,6,0,25.644
3500000000,6,0,30.027
4000000000,6,0,34.645
4294967295,6,0,39.089
500000000,8,0,4.114
1000000000,8,0,7.618
1500000000,8,0,11.141
2000000000,8,0,15.067
2500000000,8,0,19.316
3000000000,8,0,23.079
3500000000,8,0,26.880
4000000000,8,0,30.782
4294967295,8,0,35.450
500000000,10,0,4.193
1000000000,10,0,7.082
1500000000,10,0,10.509
2000000000,10,0,14.112
2500000000,10,0,18.061
3000000000,10,0,21.809
3500000000,10,0,25.152
4000000000,10,0,28.828
4294967295,10,0,33.151
